{'loss': 2.5274, 'learning_rate': 1.9696417729204616e-05, 'epoch': 0.05}
{'loss': 1.7359, 'learning_rate': 1.939283545840923e-05, 'epoch': 0.09}
{'loss': 1.5522, 'learning_rate': 1.9089253187613846e-05, 'epoch': 0.14}
{'loss': 1.4606, 'learning_rate': 1.878567091681846e-05, 'epoch': 0.18}
{'loss': 1.4025, 'learning_rate': 1.848208864602307e-05, 'epoch': 0.23}
{'loss': 1.3472, 'learning_rate': 1.817850637522769e-05, 'epoch': 0.27}
{'loss': 1.2856, 'learning_rate': 1.7874924104432304e-05, 'epoch': 0.32}
{'loss': 1.2854, 'learning_rate': 1.7571341833636916e-05, 'epoch': 0.36}
{'loss': 1.2136, 'learning_rate': 1.726775956284153e-05, 'epoch': 0.41}
{'loss': 1.2088, 'learning_rate': 1.696417729204615e-05, 'epoch': 0.46}
{'loss': 1.1966, 'learning_rate': 1.666059502125076e-05, 'epoch': 0.5}
{'loss': 1.1493, 'learning_rate': 1.6357012750455374e-05, 'epoch': 0.55}
{'loss': 1.1435, 'learning_rate': 1.605343047965999e-05, 'epoch': 0.59}
{'loss': 1.1245, 'learning_rate': 1.5749848208864604e-05, 'epoch': 0.64}
{'loss': 1.0625, 'learning_rate': 1.544626593806922e-05, 'epoch': 0.68}
{'loss': 1.0794, 'learning_rate': 1.5142683667273831e-05, 'epoch': 0.73}
{'loss': 1.0931, 'learning_rate': 1.4839101396478446e-05, 'epoch': 0.77}
{'loss': 1.0622, 'learning_rate': 1.4535519125683062e-05, 'epoch': 0.82}
{'loss': 1.0715, 'learning_rate': 1.4231936854887675e-05, 'epoch': 0.87}
{'loss': 1.0287, 'learning_rate': 1.392835458409229e-05, 'epoch': 0.91}
{'loss': 1.0242, 'learning_rate': 1.3624772313296906e-05, 'epoch': 0.96}
